country_code,country_name,fert_rate,gdp_us_billion,health_exp_per_cap,health_exp_pub,prim_ed_girls,mat_mort_ratio,population
AUS,Australia,1.8615,1422.994116449394,4256.058988286667,6.292381022140567,48.57670688629152,6.0,23.4445596
BRA,Brazil,1.7952499999999998,2198.76560610298,1303.1991035233334,3.773472978753704,47.78457736968995,49.5,204.1595442
CAN,Canada,1.6002999999999998,1708.47362665977,4616.5391338733325,7.54624712193232,48.8089256286621,7.25,35.517119
CHN,China,1.55875,10182.790478745175,657.7488592033333,3.015529819745927,46.29796409606933,28.75,1364.446
DEU,Germany,1.45,3601.226157523146,4909.6598842700005,8.542615278312446,48.568695068359375,6.25,81.2816448
ESP,Spain,1.3075,1299.7242611903462,2963.8328245800003,6.545739104256701,48.72223091125488,5.0,46.5531276
FRA,France,2.005,2647.649725041198,4387.835406006667,8.920420072458906,48.77205022176107,8.75,66.3020988
GBR,United Kingdom,1.8425,2768.864416903352,3357.98367464,7.720654755569743,48.79180908203123,9.25,64.64155720000001
IND,India,2.44925,2019.005411363848,241.57247706666664,1.29266565020746,49.49723434448239,185.25,1293.7425374000002
ITA,Italy,1.39,2005.9839798519097,3266.98409374,6.984374437227344,48.40757274627684,4.0,60.3787954
JPN,Japan,1.43,5106.024760217122,3687.1262793366654,8.496073852643569,48.74419911702473,5.75,127.2971022
KOR,"Korea, Rep.",1.232,1346.751161809782,2385.4472507133337,3.915606053904317,48.023387908935526,12.0,50.7272118
MEX,Mexico,2.257,1188.8027797526602,1081.2089478566666,3.225838713202384,48.906295776367166,40.0,124.2034496
RUS,Russian Federation,1.7245,1822.691700385484,1755.5066347233333,3.7313543849780064,48.96807003021243,25.25,143.79350380000002
USA,United States,1.860875,17369.1246,9060.068657203336,8.12196076488071,48.75883007049557,14.0,318.5581748
